MaSo,MaTinhThanh,Ten,DonVi,EnglishName
1,1,Ba Đình,Quận,BaDinh
2,1,Hoàn Kiếm,Quận,HoanKiem
3,1,Tây Hồ,Quận,TayHo
4,1,Long Biên,Quận,LongBien
5,1,Cầu Giấy,Quận,CauGiay
6,1,Đống Đa,Quận,DongDa
7,1,Hai Bà Trưng,Quận,HaiBaTrung
8,1,Hoàng Mai,Quận,HoangMai
9,1,Thanh Xuân,Quận,ThanhXuan
16,1,Sóc Sơn,Huyện,SocSon
17,1,Đông Anh,Huyện,DongAnh
18,1,Gia Lâm,Huyện,GiaLam
19,1,Nam Từ Liêm,Quận,NamTuLiem
20,1,Thanh Trì,Huyện,ThanhTri
21,1,Bắc Từ Liêm,Quận,BacTuLiem
24,2,Hà Giang,Thành phố,HaGiang
26,2,Đồng Văn,Huyện,DongVan
27,2,Mèo Vạc,Huyện,MeoVac
28,2,Yên Minh,Huyện,YenMinh
29,2,Quản Bạ,Huyện,QuanBa
30,2,Vị Xuyên,Huyện,ViXuyen
31,2,Bắc Mê,Huyện,BacMe
32,2,Hoàng Su Phì,Huyện,HoangSuPhi
33,2,Xín Mần,Huyện,XinMan
34,2,Bắc Quang,Huyện,BacQuang
35,2,Quang Bình,Huyện,QuangBinh
40,4,Cao Bằng,Thành phố,CaoBang
42,4,Bảo Lâm,Huyện,BaoLam
43,4,Bảo Lạc,Huyện,BaoLac
45,4,Hà Quảng,Huyện,HaQuang
47,4,Trùng Khánh,Huyện,TrungKhanh
48,4,Hạ Lang,Huyện,HaLang
49,4,Quảng Hòa,Huyện,QuangHoa
51,4,Hoà An,Huyện,HoaAn
52,4,Nguyên Bình,Huyện,NguyenBinh
53,4,Thạch An,Huyện,ThachAn
58,6,Bắc Kạn,Thành phố,BacKan
60,6,Pác Nặm,Huyện,PacNam
61,6,Ba Bể,Huyện,BaBe
62,6,Ngân Sơn,Huyện,NganSon
63,6,Bạch Thông,Huyện,BachThong
64,6,Chợ Đồn,Huyện,ChoDon
65,6,Chợ Mới,Huyện,ChoMoi
66,6,Na Rì,Huyện,NaRi
70,8,Tuyên Quang,Thành phố,TuyenQuang
71,8,Lâm Bình,Huyện,LamBinh
72,8,Na Hang,Huyện,NaHang
73,8,Chiêm Hóa,Huyện,ChiemHoa
74,8,Hàm Yên,Huyện,HamYen
75,8,Yên Sơn,Huyện,YenSon
76,8,Sơn Dương,Huyện,SonDuong
80,10,Lào Cai,Thành phố,LaoCai
82,10,Bát Xát,Huyện,BatXat
83,10,Mường Khương,Huyện,MuongKhuong
84,10,Si Ma Cai,Huyện,SiMaCai
85,10,Bắc Hà,Huyện,BacHa
86,10,Bảo Thắng,Huyện,BaoThang
87,10,Bảo Yên,Huyện,BaoYen
88,10,Sa Pa,Thị xã,SaPa
89,10,Văn Bàn,Huyện,VanBan
94,11,Điện Biên Phủ,Thành phố,DienBienPhu
95,11,Mường Lay,Thị xã,MuongLay
96,11,Mường Nhé,Huyện,MuongNhe
