MaSo,MaQuanHuyen,Ten,DonVi,EnglishName
1,1,Phúc Xá,Phường,PhucXa
4,1,Trúc Bạch,Phường,TrucBach
6,1,Vĩnh Phúc,Phường,VinhPhuc
7,1,Cống Vị,Phường,CongVi
8,1,Liễu Giai,Phường,LieuGiai
10,1,Nguyễn Trung Trực,Phường,NguyenTrungTruc
13,1,Quán Thánh,Phường,QuanThanh
16,1,Ngọc Hà,Phường,NgocHa
19,1,Điện Biên,Phường,DienBien
22,1,Đội Cấn,Phường,DoiCan
25,1,Ngọc Khánh,Phường,NgocKhanh
28,1,Kim Mã,Phường,KimMa
31,1,Giảng Võ,Phường,GiangVo
34,1,Thành Công,Phường,ThanhCong
37,2,Phúc Tân,Phường,PhucTan
40,2,Đồng Xuân,Phường,DongXuan
43,2,Hàng Mã,Phường,HangMa
46,2,Hàng Buồm,Phường,HangBuom
49,2,Hàng Đào,Phường,HangDao
52,2,Hàng Bồ,Phường,HangBo
55,2,Cửa Đông,Phường,CuaDong
58,2,Lý Thái Tổ,Phường,LyThaiTo
61,2,Hàng Bạc,Phường,HangBac
64,2,Hàng Gai,Phường,HangGai
67,2,Chương Dương,Phường,ChuongDuong
70,2,Hàng Trống,Phường,HangTrong
73,2,Cửa Nam,Phường,CuaNam
76,2,Hàng Bông,Phường,HangBong
79,2,Tràng Tiền,Phường,TrangTien
82,2,Trần Hưng Đạo,Phường,TranHungDao
85,2,Phan Chu Trinh,Phường,PhanChuTrinh
88,2,Hàng Bài,Phường,HangBai
91,3,Phú Thượng,Phường,PhuThuong
94,3,Nhật Tân,Phường,NhatTan
97,3,Tứ Liên,Phường,TuLien
100,3,Quảng An,Phường,QuangAn
103,3,Xuân La,Phường,XuanLa
106,3,Yên Phụ,Phường,YenPhu
109,3,Bưởi,Phường,Buoi
112,3,Thụy Khuê,Phường,ThuyKhue
115,4,Thượng Thanh,Phường,ThuongThanh
118,4,Ngọc Thụy,Phường,NgocThuy
121,4,Giang Biên,Phường,GiangBien
124,4,Đức Giang,Phường,DucGiang
127,4,Việt Hưng,Phường,VietHung
130,4,Gia Thụy,Phường,GiaThuy
133,4,Ngọc Lâm,Phường,NgocLam
136,4,Phúc Lợi,Phường,PhucLoi
139,4,Bồ Đề,Phường,BoDe
142,4,Sài Đồng,Phường,SaiDong
145,4,Long Biên,Phường,LongBien
148,4,Thạch Bàn,Phường,ThachBan
151,4,Phúc Đồng,Phường,PhucDong
154,4,Cự Khối,Phường,CuKhoi
157,5,Nghĩa Đô,Phường,NghiaDo
160,5,Nghĩa Tân,Phường,NghiaTan
163,5,Mai Dịch,Phường,MaiDich
166,5,Dịch Vọng,Phường,DichVong
167,5,Dịch Vọng Hậu,Phường,DichVongHau
169,5,Quan Hoa,Phường,QuanHoa
172,5,Yên Hoà,Phường,YenHoa
175,5,Trung Hoà,Phường,TrungHoa
178,6,Cát Linh,Phường,CatLinh
181,6,Văn Miếu,Phường,VanMieu
184,6,Quốc Tử Giám,Phường,QuocTuGiam
187,6,Láng Thượng,Phường,LangThuong
190,6,Ô Chợ Dừa,Phường,OChoDua
193,6,Văn Chương,Phường,VanChuong
196,6,Hàng Bột,Phường,HangBot
199,6,Láng Hạ,Phường,LangHa
202,6,Khâm Thiên,Phường,KhamThien
205,6,Thổ Quan,Phường,ThoQuan
208,6,Nam Đồng,Phường,NamDong
211,6,Trung Phụng,Phường,TrungPhung
214,6,Quang Trung,Phường,QuangTrung
217,6,Trung Liệt,Phường,TrungLiet
220,6,Phương Liên,Phường,PhuongLien
223,6,Thịnh Quang,Phường,ThinhQuang
226,6,Trung Tự,Phường,TrungTu
229,6,Kim Liên,Phường,KimLien
232,6,Phương Mai,Phường,PhuongMai
235,6,Ngã Tư Sở,Phường,NgaTuSo
238,6,Khương Thượng,Phường,KhuongThuong
241,7,Nguyễn Du,Phường,NguyenDu
244,7,Bạch Đằng,Phường,BachDang
247,7,Phạm Đình Hổ,Phường,PhamDinhHo
256,7,Lê Đại Hành,Phường,LeDaiHanh
259,7,Đồng Nhân,Phường,DongNhan
262,7,Phố Huế,Phường,PhoHue
265,7,Đống Mác,Phường,DongMac
268,7,Thanh Lương,Phường,ThanhLuong
271,7,Thanh Nhàn,Phường,ThanhNhan
274,7,Cầu Dền,Phường,CauDen
277,7,Bách Khoa,Phường,BachKhoa
280,7,Đồng Tâm,Phường,DongTam
283,7,Vĩnh Tuy,Phường,VinhTuy
286,7,Bạch Mai,Phường,BachMai
289,7,Quỳnh Mai,Phường,QuynhMai
292,7,Quỳnh Lôi,Phường,QuynhLoi
295,7,Minh Khai,Phường,MinhKhai
298,7,Trương Định,Phường,TruongDinh
301,8,Thanh Trì,Phường,ThanhTri
304,8,Vĩnh Hưng,Phường,VinhHung
307,8,Định Công,Phường,DinhCong
310,8,Mai Động,Phường,MaiDong
313,8,Tương Mai,Phường,TuongMai
316,8,Đại Kim,Phường,DaiKim
319,8,Tân Mai,Phường,TanMai
322,8,Hoàng Văn Thụ,Phường,HoangVanThu
325,8,Giáp Bát,Phường,GiapBat
328,8,Lĩnh Nam,Phường,LinhNam
331,8,Thịnh Liệt,Phường,ThinhLiet
334,8,Trần Phú,Phường,TranPhu
337,8,Hoàng Liệt,Phường,HoangLiet
340,8,Yên Sở,Phường,YenSo
343,9,Nhân Chính,Phường,NhanChinh
346,9,Thượng Đình,Phường,ThuongDinh
349,9,Khương Trung,Phường,KhuongTrung
352,9,Khương Mai,Phường,KhuongMai
